Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.93810241130204E-07,-0.000386316285931254,0.0968888666070041,0,0,0,8.83132447725134,0.0575793448618033,-4.3156287973849E-08,1.01002746070377E-09,0.0423254144963157,-1.93199740717433E-09,0.0808458288984447,0,0,0,0,0,0,package://TOMO/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/base_link.STL,,P-V1051-V01-10-0000-R1--Base-ROS-1;P-ACTUATOR-V01-21-0000-R3-ROS-F-3;P-ACTUATOR-V01-21-0000-R3-ROS-F-4;P-V1051-V02-01-0000-R1-ROS-F-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1_right,-0.000116770951663181,0.00486515507498929,0.0746954589647087,0,0,0,0.227010110091438,0.000243708178478457,-1.66021010705533E-07,5.95851806907483E-08,0.0003426243365169,-1.97302100623573E-05,0.000198647270051706,0,0,0,0,0,0,package://TOMO/meshes/link_1_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_1_right.STL,,P-ACTUATOR-V01-21-0000-R3-ROS-M-3;P-ACTUATOR-V01-20-0000-R1-ROS-F-2,Origin_joint_1_right,Axis_joint_1_right,joint_1_right,revolute,0,-0.149653699999999,0.346,1.5707963267949,-1.5707963267949,0,base_link,0,0,-1,1,2,-4,4,,,,,,,,
link_2_right,0.0844457878809687,0.000101989286195203,-0.000711500079616463,0,0,0,0.224067099854849,0.000204476910991099,-1.32452259272611E-07,-1.68210249018226E-06,0.000228971086287487,2.27423206555866E-07,0.000287593417326689,0,0,0,0,0,0,package://TOMO/meshes/link_2_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_2_right.STL,,P-ACTUATOR-V01-20-0000-R1-ROS-M-2;P-ACTUATOR-V01-18-0000-R1-ROS-F-3,Origin_joint_2_right,Axis_joint_2_right,joint_2_right,revolute,0,0,0.1083463,-1.5707963267949,0,-3.14159265358979,link_1_right,0,0,-1,1,2,-4,4,,,,,,,,
link_3_right,-0.00454794287596466,-0.00163065568804118,0.229261609294948,0,0,0,0.213526726526992,0.000295392285895187,2.55971824609778E-06,2.42012077099998E-05,0.000223789530418184,-7.92943480369413E-06,0.000150527475277034,0,0,0,0,0,0,package://TOMO/meshes/link_3_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_3_right.STL,,P-ACTUATOR-V01-18-0000-R1-ROS-M-3;P-ACTUATOR-V01-17-0000-R1-ROS-F-2,Origin_joint_3_right,Axis_joint_3_right,joint_3_right,revolute,0,0,0,1.5707963267949,0,1.5707963267949,link_2_right,0,0,-1,1,2,-4,4,,,,,,,,
link_4_right,0.0706705020224996,-0.0019474253479012,-0.000388890377786499,0,0,0,0.157682494190408,0.000121793428908691,2.300132575207E-06,1.68248584566472E-07,0.00012579488389509,3.33924248156573E-07,0.000163908797308814,0,0,0,0,0,0,package://TOMO/meshes/link_4_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_4_right.STL,,P-ACTUATOR-V01-17-0000-R1-ROS-M-2;P-ACTUATOR-V01-15-0000-R1-ROS-F-3,Origin_joint_4_right,Axis_joint_4_right,joint_4_right,revolute,0,0,0.261999881246334,-1.5707963267949,0,1.5707963267949,link_3_right,0,0,1,1,2,-4,4,,,,,,,,
link_5_right,2.62862985959955E-06,-3.99825925093689E-05,0.231159620523696,0,0,0,0.177297059983289,7.14269543821157E-05,-4.39097107681586E-07,3.91916444752041E-10,8.25865352501055E-05,-2.34279475662905E-09,0.000123287285497174,0,0,0,0,0,0,package://TOMO/meshes/link_5_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_5_right.STL,,P-ACTUATOR-V01-15-0000-R1-ROS-M-3;P-ACTUATOR-V01-14-0000-R1-ROS-F-3,Origin_joint_5_right,Axis_joint_5_right,joint_5_right,revolute,0,0,0,1.5707963267949,0,1.5707963267949,link_4_right,0,0,-1,1,2,-4,4,,,,,,,,
hand_link,0.0174953909223021,-0.0683958688531121,0.00621333236576688,0,0,0,0.18641615441014,7.23597280607215E-05,6.00403205960874E-06,-9.48627696336613E-07,4.50161547663777E-05,3.21609803728982E-06,5.07318546078991E-05,0,0,0,0,0,0,package://TOMO/meshes/hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/hand_link.STL,,P-ACTUATOR-V01-14-0000-R1-ROS-M-3;_P-V1051-V01-13-0000-ROS-RightHand-2,Origin_hand_joint,Axis_hand_joint,hand_joint,revolute,0,0,0.321499459120271,-1.5707963267949,0,-0.043686044650857,link_5_right,0,0,-1,1,2,-4,4,,,,,,,,
link_1_left,8.45351276024253E-05,0.0048647232175995,-0.0803491589659199,0,0,0,0.227010110098544,0.000243710145508596,-4.71305710534827E-07,-6.75041651725624E-08,0.000342622369510464,1.97301940833334E-05,0.000198647270077769,0,0,0,0,0,0,package://TOMO/meshes/link_1_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_1_left.STL,,P-ACTUATOR-V01-21-0000-R1-ROS-M-C-2,Origin_joint_1_left,Axis_joint_1_left2,joint_1_left,revolute,0,0.144,0.345999091588534,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,1,2,-4,4,,,,,,,,
link_2_left,-0.0844487310925175,-0.000583153665721165,-0.000102195025952934,0,0,0,0.2240670998602,0.000204502036886142,-2.21747921509167E-06,-1.33914831822612E-07,0.000287568291467972,2.26565105604647E-07,0.000228971086335725,0,0,0,0,0,0,package://TOMO/meshes/link_2_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_2_left.STL,,P-ACTUATOR-V01-20-0000-R1-ROS-M-C-2,Origin_joint_2_left,Axis_joint_2_left,joint_2_left,revolute,0,0.000749459120259094,-0.113999794314368,0,0,0,link_1_left,0,1,0,1,2,-4,4,,,,,,,,
link_3_left,-0.0858747139912413,0.000346559404267246,-0.00456622316326594,0,0,0,0.214220241880664,0.000150932655208321,-7.41015090690671E-06,-2.42263907828336E-05,0.000224369684082305,-3.00990463128839E-06,0.000296253065633001,0,0,0,0,0,0,package://TOMO/meshes/link_3_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_3_left.STL,,P-ACTUATOR-V01-18-0000-R1-ROS-M-C-2,Origin_joint_3_left,Axis_joint_3_left,joint_3_left,revolute,-0.1435,-0.000749459120259094,0,0,0,0,link_2_left,1,0,0,1,2,-4,4,,,,,,,,
link_4_left,-0.0020989685505893,-0.072355178820498,0.00123007865120434,0,0,0,0.157682496301183,0.000125784644913681,-2.30899906835262E-06,1.01217898371279E-07,0.000121803669564616,2.65086915647767E-07,0.000163908798753155,0,0,0,0,0,0,package://TOMO/meshes/link_4_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_4_left.STL,,P-ACTUATOR-V01-17L-0000-R1-ROS-M-C-2,Origin_joint_4_left,Axis_joint_4_left,joint_4_left,revolute,-0.1185,0,-0.00075,0,0,0,link_3_left,0,0,1,1,2,-4,4,,,,,,,,
link_5_left,-0.000505431992630381,-0.104347692805929,-3.99826105053624E-05,0,0,0,0.177297060052954,7.14272085329521E-05,1.14811065060073E-07,-4.39090819540098E-07,0.000123287031335847,3.3181880174241E-09,8.25865352634625E-05,0,0,0,0,0,0,package://TOMO/meshes/link_5_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_5_left.STL,,P-ACTUATOR-V01-15-0000-R1-ROS-M-C-2,Origin_joint_5_left,Axis_joint_5_left,joint_5_left,revolute,0,-0.1285,0.00075,0,0,0,link_4_left,0,1,0,1,2,-4,4,,,,,,,,
link_6_left,0.00514864984860652,-0.0185295130046993,-0.0751071001757195,0,0,0,0.19393437562808,5.11621112333787E-05,4.23475259763481E-06,3.12997240347666E-06,7.52336491238202E-05,-6.32262460252191E-06,4.67258124335878E-05,0,0,0,0,0,0,package://TOMO/meshes/link_6_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_6_left.STL,,P-ACTUATOR-V01-14-0000-R1-ROS-M-4;_P-V1051-V01-09-0000-ROS-Lefthand-2,Origin_joint_6_left,Axis_joint_6_left,joint_6_left,revolute,0,-0.193,0,1.5708,1.5271,3.1416,link_5_left,1,0,0,1,2,-4,4,,,,,,,,
link_1_head,-0.0078250603517496,0.0883251418406869,0.00715500001582559,0,0,0,0.234633125007902,0.000214177105962251,-8.53524194649373E-08,4.03989529773258E-07,9.8110545939101E-05,3.91860723006609E-10,0.000217397035377449,0,0,0,0,0,0,package://TOMO/meshes/link_1_head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_1_head.STL,,P-V1051-V02-01-0000-R1-ROS-M1-1,Origin_joint_1_head,Axis_joint_1_head,joint_1_head,revolute,0.00250000000000015,0,0.277,1.5707963267949,0,-1.55885197038868,base_link,0,1,0,1,2,-2,2,,,,,,,,
link_2_head,0.00112128231360629,0.0545589765783932,-0.0307364618254799,0,0,0,0.128835892667459,6.27926703017431E-05,3.16907598645175E-08,-3.14948652026588E-07,0.000119972521607673,-2.41068422069961E-06,8.54038299007762E-05,0,0,0,0,0,0,package://TOMO/meshes/link_2_head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TOMO/meshes/link_2_head.STL,,P-V1051-V02-01-0000-R1-ROS-M2-1,Origin_joint_2_head,Axis_joint_2_head,joint_2_head,revolute,0,0.177,0,0.0693479584506404,-2.87108990057302E-05,0.000827692432825673,link_1_head,0.999928667023102,0,0.0119440723960343,1,2,-4,4,,,,,,,,
